ads_name,property_type,apartment_name,area,region,city,latitude,longitude,bedrooms,bathrooms,size,is_furnished,capacity,rating,yearly_price,property_management_type
Cozy 1BR at Green Central City Glodok Apartment By Travelio,apartment,Apartemen Green Central City Glodok,Glodok,DKI Jakarta,Jakarta,-6.147707145070255,106.81552469730377,1,1,41.0,Full Furnished,2,,40717500,TPM
Gading Nias Residence 1BR Apartment near Mall Kelapa Gading By Travelio,apartment,Apartemen Gading Nias Residence,Kelapa Gading,DKI Jakarta,Jakarta,-6.153782044208278,106.91722869873047,1,1,29.0,Full Furnished,2,4.9,23580000,TPM
Modern and Comfy 1BR at The Mansion Kemayoran Apartment By Travelio,apartment,Apartemen The Mansion Kemayoran,Kemayoran,DKI Jakarta,Jakarta,-6.148443176931242,106.85455620288849,1,1,33.0,Full Furnished,2,5.0,50000000,TPM
Fancy and Nice Studio at Citra Living Apartment By Travelio,apartment,Apartemen Citra Living,Kalideres,DKI Jakarta,Jakarta,-6.146017734755382,106.70166358351707,Studio,1,22.61,Full Furnished,1,,40000000,TPM
Studio Room at Way Seputih Residence near Taman Anggrek By Travelio,apartment,Guest House Way Seputih,Tanjung Duren,DKI Jakarta,Jakarta,-6.181856,106.788532,Studio,1,15.0,Full Furnished,2,5.0,25602488,TPM
Comfy and Modern Look 2BR at St. Moritz Puri Apartment By Travelio,apartment,Apartemen St. Moritz Puri,Puri Indah,DKI Jakarta,Jakarta,-6.187120748508719,106.74012243747711,2,1,81.33,Full Furnished,4,,96750000,TPM
Simply Studio Unfurnished with AC at Green Pramuka City Apartment By Travelio,apartment,Apartemen Green Pramuka City,Cempaka Putih,DKI Jakarta,Jakarta,-6.188470039163343,106.87473177909851,Studio,1,20.6,Unfurnished,2,,20000000,REALTY
Luxury Room Renovated 2BR Sudirman Park CBD Area Apartment By Travelio,apartment,Apartemen Sudirman Park,Sudirman,DKI Jakarta,Jakarta,-6.205391877764738,106.81696772575378,2,1,46.0,Full Furnished,3,5.0,132000000,TPM
Fancy and Nice 1BR at Osaka Riverview PIK 2 Apartment By Travelio,apartment,Apartemen Osaka Riverview PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0578449739756275,106.67855501174927,1,1,25.8,Full Furnished,2,5.0,20364592,TPM
Best Homey and Modern 2BR at Oak Tower Apartment By Travelio,apartment,Apartemen Oak Tower,Pulo Gadung,DKI Jakarta,Jakarta,-6.180914,106.905101,2,1,43.0,Full Furnished,4,,45000000,TPM
Tranquil 2BR with Private Lift at The Empyreal Epicentrum Kuningan Apartment By Travelio,apartment,Apartemen The Empyreal Epicentrum Kuningan,Epicentrum,DKI Jakarta,Jakarta,-6.218660181786843,106.83386564254761,2,2,105.35,Full Furnished,3,5.0,122995457,TPM
Unfurnished Studio at Tokyo Riverside PIK 2 Apartment By Travelio,apartment,Apartemen Tokyo Riverside PIK 2,PIK 2,DKI Jakarta,Jakarta,-6.0420121,106.692587,Studio,1,21.0,Unfurnished,2,,10000000,REALTY
Comfy 3BR Apartment at 19th Floor Gajah Mada Mediterania By Travelio,apartment,Apartemen Gajah Mada Mediterania,Gajah Mada,DKI Jakarta,Jakarta,-6.149269878169312,106.81557297706604,3,1,55.15,Full Furnished,4,5.0,48800000,TPM
